Depot,Fleet Number,Vehicle Registration Number,Vehicle Make,Vehicle Model,Vehicle Operator,is AC?,Service Type,Registration Date,Status
Central Depot,J1439,TN01AN2660,Ashok Leyland,BS-4,MTC,No,Ordinary,25-06-2019,Active
Chromepet-1 Depot,I1626,TN01N5996,Ashok Leyland,BS-3,MTC,No,Ordinary,31-07-2008,Active
Chromepet-1 Depot,I1446,TN01N5745,Ashok Leyland,BS-3,MTC,No,Ordinary,21-01-2008,Active
Chromepet-2 Depot,J0804,TN01AN1558,Ashok Leyland,BS-4,MTC,No,Ordinary,16-05-2016,Active
Chromepet-2 Depot,J0808,TN01AN1542,Ashok Leyland,BS-4,MTC,No,Ordinary,16-05-2016,Active
Chromepet-2 Depot,J0850,TN01AN1590,Ashok Leyland,BS-4,MTC,No,Deluxe,07-09-2016,Active
Chromepet-2 Depot,J1312,TN01AN2625,Ashok Leyland,BS-4,MTC,No,Ordinary,24-06-2019,Active
Chromepet-2 Depot,J1292,TN01AN2462,Ashok Leyland,BS-4,MTC,No,Ordinary,19-06-2019,Active
Chromepet-2 Depot,J1430,TN01AN2653,Ashok Leyland,BS-4,MTC,No,Ordinary,25-06-2019,Active
Tambaram Depot,J1473,TN01AN2682,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Tambaram Depot,J1505,TN01AN2881,Ashok Leyland,BS-4,MTC,No,Ordinary,11-07-2019,Active
Tambaram Depot,J1288,TN01AN2562,Ashok Leyland,BS-4,MTC,No,Ordinary,23-06-2019,Active
Tambaram Depot,J1570,TN01AN3037,Ashok Leyland,BS-4,MTC,No,Ordinary,07-08-2019,Active
Tambaram Depot,J0066,TN01N9932,Ashok Leyland,BS-4,MTC,No,Ordinary,29-03-2012,Active
Tambaram Depot,J1562,TN01AN3062,Ashok Leyland,BS-4,MTC,No,Ordinary,12-08-2019,Active
Tambaram Depot,J1038,TN01AN1964,Ashok Leyland,BS-4,MTC,No,Express,15-04-2019,Active
Tambaram Depot,J0143,TN01AN0174,Ashok Leyland,BS-4,MTC,No,Ordinary,17-06-2012,Active
Tambaram Depot,J1198,TN01AN2108,Ashok Leyland,BS-4,MTC,No,Ordinary,22-04-2019,Active
Tambaram Depot,J1501,TN01AN2828,Ashok Leyland,BS-4,MTC,No,Ordinary,02-07-2019,Active
Tambaram Depot,J0766,TN01AN1490,Ashok Leyland,BS-4,MTC,No,Ordinary,14-04-2016,Active
Tambaram Depot,J1266,TN01AN2426,Ashok Leyland,BS-4,MTC,No,Ordinary,20-05-2019,Active
Tambaram Depot,J1465,TN01AN2709,Ashok Leyland,BS-4,MTC,No,Ordinary,27-06-2019,Active
Tambaram Depot,J1561,TN01AN3102,Ashok Leyland,BS-4,MTC,No,Ordinary,12-08-2019,Active
Tambaram Depot,J1486,TN01AN2767,Ashok Leyland,BS-4,MTC,No,Ordinary,02-07-2019,Active
Tambaram Depot,J1429,TN01AN2693,Ashok Leyland,BS-4,MTC,No,Ordinary,25-06-2019,Active
Tambaram Depot,J0043,TN01N9853,Ashok Leyland,BS-4,MTC,No,Ordinary,15-11-2011,Active
Tambaram Depot,J0121,TN01AN0175,Ashok Leyland,BS-4,MTC,No,Ordinary,17-06-2012,Active
Tambaram Depot,J1526,TN01AN2854,Ashok Leyland,BS-4,MTC,No,Ordinary,11-07-2019,Active
Poonamallee Depot,K0749,TN01AN5046,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
Poonamallee Depot,K0748,TN01AN5089,Ashok Leyland,BS-6,MTC,No,Deluxe,N/A,Active
